externalId,section,description,shortDescription,nibrsUCRCodes,source,validFromTime,validToTime,severity,code,summaryCode,cjisCode,hierarchyNumber,UCR,offenseCategories,chargeType,stateOffenseCode,NCICOffenseCodes
CHG00000026,18-12-106(1)(C),WEAPONS-PROHIBITED USE-UNATTENDED LOADED GUN,WEAPONS-PROHIBITED USE-UNATTENDED LOADED GUN,520,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5299,,5299,GENERAL,BOTH,,
CHG00000027,42-4-704,VEHICLE ENTERING ROADWAY,VEHICLE ENTERING ROADWAY,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000028,18-12-106(1)(D),WEAPONS-PROHIBITED USE-POSSESSION WHILE INTOXICATED,WEAPONS-PROHIBITED USE-POSSESSION WHILE INTOXICATED,520,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5299,,5299,GENERAL,BOTH,,
CHG00000029,42-4-703,FAILED TO YIELD AT YIELD INTERSECTION,FAILED TO YIELD AT YIELD INTERSECTION,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000030,42-4-702,FAILED TO YIELD WHEN TURNING LEFT,FAILED TO YIELD WHEN TURNING LEFT,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000031,18-12-106(1)(E),WEAPONS-PROHIBITED USE-THROWING STAR,WEAPONS-PROHIBITED USE-THROWING STAR,13A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Person,,1315,,1315,GENERAL,BOTH,,
CHG00000032,42-4-701,FAIL TO YIELD RIGHT OF WAY/INTERSECTION,FAIL TO YIELD RIGHT OF WAY/INTERSECTION,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000033,18-1.3-702,FTP-FAILURE TO PAY,FTP-FAILURE TO PAY,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5005,,5005,,BOTH,,
CHG00000034,42-4-612,INOPERATIVE SIGNAL-FAIL TO STOP,INOPERATIVE SIGNAL-FAIL TO STOP,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000035,42-4-608,FAILED TO USE TURN SIGNAL,FAILED TO USE TURN SIGNAL,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000036,18-12-106.5,WEAPON-USE OF STUN GUN,WEAPON-USE OF STUN GUN,520,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,5299,,5299,GENERAL,BOTH,,
CHG00000037,42-4-607,INTERFERENCE WITH OFFICIAL DEVICES,INTERFERENCE WITH OFFICIAL DEVICES,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000038,18-2-101(2),AIDING IN THE COMMISSION OF AN OFFENSE,AIDING IN THE COMMISSION OF AN OFFENSE,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,GENERAL,BOTH,,
CHG00000039,42-4-605,FAILED TO OBEY FLASHING SIGNAL LIGHT,FAILED TO OBEY FLASHING SIGNAL LIGHT,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000040,42-4-604,FAILED TO OBEY TRAFFIC CONTROL SIGNAL,FAILED TO OBEY TRAFFIC CONTROL SIGNAL,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000041,18-2-101(4),CRIMINAL ATTEMPT: SELECT,CRIMINAL ATTEMPT: SELECT,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,7399,,7399,,BOTH,,
CHG00000042,42-4-603,FAIL TO OBEY TRAFFIC CONTROL DEVICE,FAIL TO OBEY TRAFFIC CONTROL DEVICE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000043,42-4-239(3),PERSON OVER 18 TEXTING WHILE OPERATING VEHICLE,PERSON OVER 18 TEXTING WHILE OPERATING VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000044,16-11-205F,PROBATION VIOLATION - SELECT,PROBATION VIOLATION - SELECT,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,5012,,5012,GENERAL,BOTH,,
CHG00000045,18-2-101(5),CRIMINAL ATTEMPT:  OTHER SELECT,CRIMINAL ATTEMPT:  OTHER SELECT,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,7399,,7399,,BOTH,,
CHG00000046,42-4-239(2),PERSON UNDER 18 USE TELEPHONE WHILE OPERATING VEHICLE,PERSON UNDER 18 USE TELEPHONE WHILE OPERATING VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000047,42-4-239,MISUSE OF CELL PHONE,MISUSE OF CELL PHONE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000048,18-2-101(6),CRIMINAL ATTEMPT:  CLASS 1 MISD,CRIMINAL ATTEMPT:  CLASS 1 MISD,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,,BOTH,,
CHG00000049,42-4-237,SAFETY BELT VIOLATIONS,SAFETY BELT VIOLATIONS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,TRAFFIC,BOTH,,
CHG00000050,42-4-236,CHILD RESTRAINT VIOLATIONS,CHILD RESTRAINT VIOLATIONS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,TRAFFIC,BOTH,,
CHG00000051,18-2-101(7),CRIMINAL ATTEMPT:  OTHER MISD,CRIMINAL ATTEMPT:  OTHER MISD,90Z,,2001-01-01T07:00:00Z,2023-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,,BOTH,,
CHG00000052,42-4-232,OPERATED M/C WITHOUT PROPER EQUIPMENT,OPERATED M/C WITHOUT PROPER EQUIPMENT,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000053,42-4-231,PARKING LIGHTS ONLY WHEN HEADLAMPS,PARKING LIGHTS ONLY WHEN HEADLAMPS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000054,18-2-101(8),CRIMINAL ATTEMPT:  PETTY,CRIMINAL ATTEMPT:  PETTY,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,,BOTH,,
CHG00000055,42-4-903,TURNING MOVEMENTS AND REQUIRED SIGNALS,TURNING MOVEMENTS AND REQUIRED SIGNALS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000056,42-4-228,TIRES-UNSAFE,TIRES-UNSAFE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000057,18-2-201,CONSPIRACY TO COMMIT A CRIME - MIS,CONSPIRACY TO COMMIT A CRIME - MIS,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,,BOTH,,
CHG00000058,42-4-227(3)(B),WINDOWS-INSTALL EXCESSIVE TINTING,WINDOWS-INSTALL EXCESSIVE TINTING,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000059,42-4-227,WINDOWS-OBSTRUCTED,WINDOWS-OBSTRUCTED,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000060,18-2-201(5),CONSPIRACY TO COMMIT A SELECT,CONSPIRACY TO COMMIT A SELECT,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,7399,,7399,,BOTH,,
CHG00000061,42-4-226,MIRRORS EQUIPMENT,MIRRORS EQUIPMENT,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000062,42-4-225,DEFECTIVE/IMPROPER MUFFLERS,DEFECTIVE/IMPROPER MUFFLERS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000063,18-2-301(1),CRIMINAL SOLICITATION,CRIMINAL SOLICITATION,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,GENERAL,BOTH,,
CHG00000064,42-4-221,BICYCLE EQUIPMENT VIOLATION,BICYCLE EQUIPMENT VIOLATION,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000065,42-4-220,MOTORCYCLE/MOTORBIKE/TRAILER LAMP,MOTORCYCLE/MOTORBIKE/TRAILER LAMP,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000066,16-11-205M,PROBATION VIOLATION - SELECT,PROBATION VIOLATION - SELECT,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5012,,5012,GENERAL,BOTH,,
CHG00000067,18-3-102(1)(A),MURDER 1-AFTER DELIBERATION,MURDER 1-AFTER DELIBERATION,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000068,42-4-217,FAILED TO DIM LIGHTS,FAILED TO DIM LIGHTS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000069,42-4-210,LAMPS ON PARKED VEHICLES,LAMPS ON PARKED VEHICLES,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000070,18-3-102(1)(B),MURDER 1-COMMITTED DURING OTHER SELECT,MURDER 1-COMMITTED DURING OTHER SELECT,09A,,2001-01-01T07:00:00Z,2023-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000071,42-4-209,NO RED FLAG/LIGHT ON PROJECTING LOAD,NO RED FLAG/LIGHT ON PROJECTING LOAD,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000072,42-4-208,VEHICLE W/DEFECTIVE/NO STOP LAMP,VEHICLE W/DEFECTIVE/NO STOP LAMP,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000073,18-3-102(1)(C),MURDER 1-BY PERJURY,MURDER 1-BY PERJURY,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000074,42-4-207,NOT EQUIPPED WITH CLEARANCE LIGHTS,NOT EQUIPPED WITH CLEARANCE LIGHTS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000075,42-4-206,TAIL LAMP AND REFLECTOR VIOLATIONS,TAIL LAMP AND REFLECTOR VIOLATIONS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000076,18-3-102(1)(D),MURDER 1-EXTREME INDIFFERENCE,MURDER 1-EXTREME INDIFFERENCE,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000077,42-4-902,LIMITATIONS ON TURNING - UTURNS,LIMITATIONS ON TURNING - UTURNS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000078,42-4-205(3),VEHICLE HEAD LAMP HEIGHT REQUIREMENT,VEHICLE HEAD LAMP HEIGHT REQUIREMENT,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000079,18-3-102(1)(E),MURDER 1-DISTRIBUTE DRUGS TO MINOR,MURDER 1-DISTRIBUTE DRUGS TO MINOR,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000080,42-4-205(1),VEHICLE HEAD LAMP REQUIRED,VEHICLE HEAD LAMP REQUIRED,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000081,42-4-205,HEADLAMPS VIOLATIONS,HEADLAMPS VIOLATIONS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000082,18-3-102(1)(F),MURDER 1-VICTIM UNDER 12 BY POSITION OF TRUST,MURDER 1-VICTIM UNDER 12 BY POSITION OF TRUST,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000083,42-4-204,FAIL TO DISPLAY HEADLIGHTS,FAIL TO DISPLAY HEADLIGHTS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000084,42-4-202(1),DROVE DEFECTIVE/UNSAFE VEHICLE,DROVE DEFECTIVE/UNSAFE VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000085,18-3-103(1),MURDER 2-KNOWINGLY CAUSING DEATH,MURDER 2-KNOWINGLY CAUSING DEATH,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000086,42-4-202,UNSAFE/DEFECTIVE VEHICLE,UNSAFE/DEFECTIVE VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000087,42-4-201(6),PERSON HUNG ON OUTSIDE OF VEHICLE,PERSON HUNG ON OUTSIDE OF VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000088,16-11-205P,PROBATION VIOLATION - PETTY,PROBATION VIOLATION - PETTY,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5012,,5012,GENERAL,BOTH,,
CHG00000089,18-3-103(3)(B),MURDER 2-HEAT OF PASSION,MURDER 2-HEAT OF PASSION,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000090,42-4-201,OBSTRUCTION OF VIEW OR DRIVING MECHANISM,OBSTRUCTION OF VIEW OR DRIVING MECHANISM,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000091,18-3-104(1)(A),MANSLAUGHTER-RECKLESS,MANSLAUGHTER-RECKLESS,09B,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,912,,912,MCU,BOTH,,
CHG00000092,42-4-1903,FAILED TO STOP FOR SCHOOL BUS,FAILED TO STOP FOR SCHOOL BUS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000093,18-3-104(1)(B),MANSLAUGHTER-AIDING SUICIDE,MANSLAUGHTER-AIDING SUICIDE,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,7099,,7099,MCU,BOTH,,
CHG00000094,42-4-1211,UNSAFE BACKING,UNSAFE BACKING,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000095,42-4-1210,PARKING IN DESIGNATED AREA,PARKING IN DESIGNATED AREA,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000096,18-3-105,CRIMINALLY NEGLIGENT HOMICIDE,CRIMINALLY NEGLIGENT HOMICIDE,09B,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,910,,910,MCU,BOTH,,
CHG00000097,42-4-1208,VIOLATED HANDICAP PARKING PRIVILEGE,VIOLATED HANDICAP PARKING PRIVILEGE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000098,42-4-1207,OPENING OR CLOSING MOTOR VEHICLE DOORS,OPENING OR CLOSING MOTOR VEHICLE DOORS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000099,18-3-106(1)(A),VEHICULAR HOMICIDE-RECKLESS DRIVING,VEHICULAR HOMICIDE-RECKLESS DRIVING,09B,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,909,,909,TRAFFIC,BOTH,,
CHG00000100,42-4-1206,UNATTENDED MOTOR VEHICLE,UNATTENDED MOTOR VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000101,42-4-1205,PARKING AT CURB OR EDGE OF ROADWAY,PARKING AT CURB OR EDGE OF ROADWAY,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000102,18-3-106(1)(B),VEHICULAR HOMICIDE-DUI,VEHICULAR HOMICIDE-DUI,09B,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,909,,909,TRAFFIC,BOTH,,
CHG00000103,42-4-1204,IMPROPER STOPPING/STANDING/PARKING,IMPROPER STOPPING/STANDING/PARKING,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000104,42-4-1202,STOPPED/PARKED VEH IN HIGHWAY/ROADWAY,STOPPED/PARKED VEH IN HIGHWAY/ROADWAY,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000105,18-3-107,MURDER 1-PEACE OFFICER-FIREFIGHTER-EMT,MURDER 1-PEACE OFFICER-FIREFIGHTER-EMT,09A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Person,,908,,908,MCU,BOTH,,
